text,is_question
"Добрый день!

Почему-то не удаётся связаться с поддержкой через Help Center, поэтому пишу здесь.

Почти год назад купила билет на концерт группы ""Ночные Снайперы"", который должен был состояться 09 ноября 2024 г. в городе Рязань в 19:00. 25 октября 2024 г. получила от Ticketscloud письмо о том, что дата концерта переносится и будет сообщена позднее. С момента получения письма прошло уже почти 10 месяцев, новую дату так и не сообщили, но и об отмене концерта не говорилось. Пыталась связаться с представителями группы ""Ночные Снайперы"", но ответа также нет. Свой билет не возвращала, так как ещё питаю надежду, что концерт состоится.
Есть ли какие-то новости по данному вопросу или ждать концерта уже не стоит и следует оформить возврат билета?",1
Вечер добрый. Покупал билет meet and greet на концерт Fun Mode в Уфе. Артисты не провели данное мероприятие. Могу я получить возврат денежных средств?,1
"Здравствуйте мы купили билеты, на 10 число но машина сломалась за городом были без связи только выбрались, можно как то деньги вернуть или как это делается",1
"Поставили билет на возврат , но денег я так и не увидел",1
"Делаю возврат с телефона, с компьютера зайти нет возможности",1
"Добрый день. Оформлял возврат билетов на концерт наш рок фест, прошло 10 дней, а деньги так и не вернули, пишет что билеты в процессе возврата.",1
Здравствуйте оформлял заявку на возврат средств ещё 29 июня но денежные средства до сих пор не вернулись,1
А точно ли оформят возврат и за сколько примерно дней это в среднем? Мероприятие в декабре,1
"Я расскажу пока в чем дело, буду ждать ответ завтра
Я покупала билеты на концерт Гурама Амаряна и сделала возврат, так как купилось не то количество билетов, которое я хотела. Я почитала правила о том, что за менее 10 дней деньги вернутся частично, но в сумме возврата 2800 я думала, что эта сумма возвращается за каждый билет отдельно. Дело в том, что покупая на сайте билеты я нажимала на 3 билета за 2800, но сумма конечная при списании с банка была 5992, обновив сайт, 4 места за одним столом были еще свободны, я вновь попробовала купить 3 места и показало при списании ту же сумму 5992. Я подумала, что это какая-то акция, либо больше 2 билетов купить нельзя. К сожалению, пришлось сделать возрат, чтобы купить 3 места рядом. И вернулась сумма только 2800. Подскажите, нельзя ли вернуть деньги за второй билет тоже? Так как сайт показывал ВЕСЬ стол свободным до обновления и после, я не поняла, почему такая сумма и что параллельно этот стол покупает другой человек",1
"Здравствуйте, что делать если мне уже одобрили возврат билета, но карты, которой я оплачивала уже нет?",1
"Здравствуйте. У меня проблема с возвратом билетов на Стендап. 19го июля было куплено два билета по 600р, чуть позже передумали и купили стол номер 10 на четверых, а на первый заказ сделали возврат. В итоге возврат пришел только за 1 билет.",1
"добрый день
оформила заявку на возврат билета на концерт, но счет, с которого была произведена оплата уже закрыт
подскажите, пожалуйста, как можно вернуть деньги?",1
мы тоже не можем вечность ждать возвращения наших денег,1
"Здравствуйте. Помогите, пожалуйста, совершить возврат билетов",1
Почему за билеты возвращаться не 5325 а 5000 ₽ ?,1
"здравствуйте, оформила возврат билета. но карта с которой был куплен билет была удалена, как поменять карту?",1
возврат № 83068326,1
Добрый день! Я вернул билеты на вашей платформе. Уже неделю назад. Подскажите когда прийдут деньги?,1
Добрый вечер .Как оформит заявку на возврат?Не могу даже зарегистрироваться у вас.,1
"добрый день! хочу оформить заявку на возврат билета по болезни, но причину никак не получается указать, кнопка поддержки так же не работает, подскажите, пожалуйста, что делать в этом случае?",1
"Здравствуйте,написала в чат,написала в поддержку по вопросу возврата средств за билеты.

Мне дали ссылку,куда необходимо указать свою почту,но после того,как ты её туда вносишь,никакая информация на саму почту не поступает. Попытка была предпринята 5-6р.

Поддержка отписалась,что отпишется на почту мне,но обращение также не было никак зафиксировано. 

Я хочу знать на каком этапе моё обращение и есть ли оно вообще?",1
В течение какого времени рассматривается заявка на возврат билетов?,1
"Здравствуйте, мне нужно отменить билеты",1
"Здравствуйте! Как вернуть покупателю билет? В ращделе ""Заказы! нет кнопки ""Вернуть"" почему?",1
"создал заявку на возврат,не можете рассчитать примерную сумму возврата,если сдаю билет за день до концерта?",1
"Здравствуйте, с прошлого мероприятия своего запомнила, что деньги выводятся только через 5 дней, в этот раз подождала 5 дней, потом зашла и вспомнила, что надо было подавать заявку на вывод средств, только сегодня подала. Есть ли сейчас возможность ускорить процесс? Очень нужно, ошиблась, знаю((
katetech4@gmail.com мероприятие Путь к себе",1
"Здравствуйте 
С сайта пропала кнопка связаться с поддержкой 

Мне нужно сделать возврат билета 84759311",1
Сервис по возврату билетов временно недоступен. что делать?,1
"Здравствуйте. Не работает кнопка возврата на билет, у нас случилась ситуация, из-за которой не можем посетить мероприятие",1
"Здравствуйте как вернуть билеты на концерт 85399834,заявку на возврат уже сделал а какой документ нужно прикрепить? Я заболел в больнице отправили на больничный? Нужно больничный прикрепить из госуслуг? или от терапевта справку с печатью?",1
"Здравствуйте, нечаянно запустила процесс возврата билета, хотя нормально по нему сходила. Можно ли отменить это действие или ничего страшного?",1
"Добрый день, как вернуть деньги за билет на концерт, который отменили
Общая стоимость 4000",1
хочу сделать возврат билета,1
и я хочу вернуть также сервисный сбор!,1
"Добрый вечер, подскажите, а за сколько дней можно вернуть билеты?",1
"Добрый вечер, подскажите, можно вернуть билеты?",1
Почему при возврате билета сервисный сбор не возвращается? Получается вы с каждого билета заработали по 400р а концерт просто отменили,1
Можно вернуть средства,1
Добрый день я хотела вернуть свои деньги за концерт как можем вернуть их мы купили два билета фан зона 4000,1
Полностью не вернуть а сколько вернут тогда,1
Добрый вечер я жду когда ответ будет от почты нам надо поскорей вернуть деньги .,1
"Здравствуйте, оформили заявку на возврат, по причине того что мероприятия (фестиваль маркет весна ) началась ужасная погода побывали ли там 10 минут, и сразу начался сильный шквал ветра и дождь, возврат оформили через 30 минут после покупки билетов, прошло уже пять дней сумму так и не вернули за билет!!",1
"здравствуйте! интересует вопрос по заявке о возврате денег, за концерт ""юг 404 25.04.2025"". когда мне и другим людям по этому вопросу будут возвращены деньги за билеты?",1
Здравствуйте. Подскажите пожалуйста как сдать билет и вернуть деньги?,1
"Добрый день. Вы являлись организатором концерта Scally Milano 
в Петрозаводске 13.12.2024. Концерт отменили. я 26.02.2025 подала документы на возврат. До сих пор вопрос с возвратом не решен. Кассир.ру не может сориентировать по срокам, утверждает что вопрос с возвратом подвис на вашей стороне. Я готова обратиться в суд с взысканием стоимости билетов и прочих издержек.",1
"Добрый день. На сегодня стоят пары-лаборатории до 21.00, по этой причине возможно вернуть билеты?",1
"Будьте добры вернуть мною оплаченные денежные средства на банковскую карту, с которой я оплачивала.",1
Доброе утро! Подскажите. Я вчера ошибочно приобрëл неверно билеты в цирк. При этом я приобрëл ещë на другие места. И хотел вернуть деньги за ошибочное приобретение. Но к сожалению вернули только 50%. Есть возможность вернуть целиком всю сумму?,1
"я понимаю отмена концертов не от вас зависит, но полную сумму оплаченного билета будьте добры возвращать, раз концерт отменен",1
"Здравствуйте, ваша платформа , вот уже 3 года не возвращает деньги за билеты на концерт , который отменили. Все заявки на возврат писать бесполезно, отвечают одно и тоже . Но прошло уже 3 года !

ЭЛДЖЕЙ - NOT GUILTY
Дата и время: 13.09.2022 
Место: Подземка г. Новосибирск .",1
я оставила заявку на возврат билета)я хотела бы знать точное время их возврата),1
"Здравствуйте, 14.03.25 я отправила заявку на возврат билета на мероприятие «CMH | 11.03 – Набережные Челны [club23292255|@Opera]». Мне на почту пришла квитанция возврата. Дело в том, что карта, с которой изначально оплачивался билет уже не существует и деньги на неё зачислены быть не могут. Я бы хотела поменять карту, для дальнейшего совершения возврата средств. 

заказ №69012970

Номер транзакции
2732738788",1
"Здравствуйте
Почему на почту не приходит форма для оформления заявки на возврат?
По ссылке ввожу адрес электронной почты",1
"Добрый вечер! Мы с подругой купили билеты на мероприятие в г. Воронеж масленица , но к сожалению у нее заболел ребенок и она не смогла поехать туда! Как оформить возврат билетов . Мероприятие было 2 марта, сейчас платформа не дает сделать возврат ( пишет ошибка) . Пытаемся вернуть с 1 марта . Есть скрины писем!",1
Здравствуйте! Мне не пришли билеты на концерт,1
вот сами билеты,1
"Здравствуйте, не могу найти в почте билет(его нету)на мероприятие, а чек ест, подскажите пжлст что сделать?",1
"Добрый вечер, как вернуть деньги за билет?",1
"Мне полностью вернут деньги за этот билет? Певец перенёс концерт на сентябрь 2025 года. Мне это не подходит! Я случайно узнала, что он не будет выступать 21.02 и оформила возврат 19.02. Мне полно вернут стоимость билета?",1
"Добрый день, сделала возврат билетов на концерт CMH, но деньги на счет так и не вернулись, хотя прошло больше 14 дней",1
Прошу вернуть билет поскольку уезжаем сюда СПб на лечение ребенка с 24.02,1
А в кассе сказали что в кассе только продают и ничего не возвращают,1
Добрый день можно вернуть билет ?,1
здравствуйте. Как мне отменить возврат билетов на концерт?,1
"Хотел узнать как вернуть деньги за билеты на концерт, который уже послезавтра?",1
"Понятно короче, не вернуть мне деньги за билет, спасибо большое",1
"Здравствуйте, я случайно купила билет на 25-е число, но мне нужно поехать сегодня. Можно ли использовать этот билет сегодня или нужно оформить возврат и купить новый билет?”",1
"Добрый день. Прошу прощения, что пишу Вам по такому вопросу. Уже не знаю, к кому обратиться.

6 апреля 2024 года должен был состояться концерт группы «Интонация» в г. Челябинске. Программа была отменена. Я и другие люди, которые хотели попасть на концерт, отправляли заявки на возврат денежных средств. К сожалению, возврат так и не пришёл. Я нашла в социальных сетях организатора – Никиту Заболотских. Он ответил, что возврат будет произведён в срок, предусмотренный законодательством РФ. 

Данный срок уже прошёл, но денег как не было, так и нет…",1
"У диктофона перенос мероприятия с разделением на три дня: 16, 17, 18 января. Я живу в Нижнем Новгороде и все билеты и жилье и транспорт уже куплены и забронированы на 17 января. Мой билет перенесли на 16-е. Ответили, что организатор ничего не может сделать, хотя в письме о переносе писали, что дату всё-таки можно поменять. Буду оформлять возврат все равно, так как настроение уже окончательно испорчено.
Но спасибо.",1
"здравствуйте! с новым годом вас

оформлял заявку на возврат билетов 14 декабря 2024 года 

номер заявки 75785436

деньги так и не пришли, хотя написано 2-5-10 дней

один единственный раз удалось связаться с вашей поддержкой по телефону, сказали что мы не при чем, спрашивайте все у организатора концерта, все деньги у него, все вопросы к нему

контактов не предоставили, в общем доступе их нет 

возникает вопрос, почему я должен этим заниматься? с заявки прошло ровно три недели, денег нет

билеты я покупал у вас, не у организатора, деньги я заплатил вам, не организатору

меня, как клиента, не должна волновать ваша внутренняя кухня, я не должен думать, как у вас все утроено

прошу посодействовать как можно быстрее возврату денежных средств",1
"Добрый день! Оставлял заявку на возврат билетов на сайте по болезни, но получил отказ, т.к. прикрепленный документ не подходит. Я прислал 2 справки от врача, который 03 декабря мне и моей девушке (я покупал два билета) поставил заболевание и прислал скриншот с горздрава (основной мед. сайт в Санкт-Петербурге) в котором указано, что я болею.

Ниже было написано, что подойдет скан больничного или справка по форме минздрава (например, 095/у). Но больничный мне не откроют, т.к. я не работаю, а справку 095/у не дадут, потому что я не учусь. Возникает вопрос - какая справка конкретно устроит вас и почему нельзя оформить возврат по прикрепленным справкам на которых стоит печать с больницы? Из-за того, что сейчас новогодние праздники я смогу посетить больницу только 7-ого числа (это дата концерта). Ранее терапевт не принимает. Т.е. я физически не смогу получить справку ранее даты концерта. Но я уже их получил вчера. Что делать в таком случае?",1
"Здравствуйте. Мероприятие отменено, нужно оформить возврат?",1
Почему вы мне отменяете заявку на возврат ?,1
Можно ли отменить процесс возврата?,1
"Сколько можно ждать возврата денег за отменённый концерт Кишлака?!
Ребята,если вопрос не будет решён в ближайшее время,мы будем вынуждены обращаться в полицию и Роспотребнадзор.",1
"я хочу вернуть билеты на концерт, но в списке покупок этих билетов нет, как их вернуть",1
"Здравствуйте
Оставил заявку на возврат билета, как долго ее будут рассматривать?",1
Верните деньги за билеты и все !!!,1
"Здравствуйте, если я оставила заявку на возврат по болезни меньше чем за три дня до концерта, то возвращается 100% стоимость билета?",1
Мою заявку на возврат отменили :(,1
Меня интересовали подробности возврата билетов и денежных средств🙂‍↕,1
"Добрый день! Объясните пожалуйста, почему нам отказано в возврате билетов и нужно предъявлять справку?! Откуда такие правила. Мероприятие у нас запланировано на завтра, и еще вчера мы собирались туда идти, ну сегодня мы с температурой, и что нам бежать срочно в больницу, чтобы показать вам справку? Негде таких правил нет. Я требую возврат денежных средств!",1
"Я верно поняла, что вы предоставляете возможность возврата, если мы прикрепим справку в течение 2х недель?",1
"Добрый день. Оставлял заявку на возврат билетов на GSPD и Lida 3его числа. Обещали, что получу обратную связь от 2 до 5 дней. Подскажите пожалуйста, появились ли сподвижки?",1
Не получается оформить возврат! Не выбрать причину кроме одной!,1
"В графе выбрать причину возврата отображается лишь один вариант,отмена мероприятия",1
Что необходимо для возврата билетов в 100% обьеме?,1
"здравствуйте. вернула 2 билета, за 1700 и 2700, пришли оба чека, но вернули только 1700 за один билет",1
"Здравствуйте, а сколько примерно рассматривается заявка на возврат билета?",1
"Скажите, а что могут не вернуть денежные средства? И если не вернут, то почему? 
Это же не моя ошибка, а сбой в боте 
Вчера мне так ответили",1
"Просто я все равно планирую ехать на концерт 
Может, если не вернут, возможен ли такой вариант? 
Вы мне отправите билеты (покупала 2 билета на фото с артистом по 3500), а то, что мне вернулось за отмену билетов (2100) я бы отправила вам",1
"Здравствуйте, не могу найти, где оставить заявление на возврат денежных средств несостоявшегося концерта Xolidayboy в Волгограде, помогите, пожалуйста.",1
"Здравствуйте, я почти месяц назад оформила заявку на возврат билета по причине отмены мероприятия. Мне до сих пор не одобрили возврат, чек о возврате не пришел. Как долго мне будут еще оформлять возврат средств?",1
"Здравствуйте, а деньги до сих пор не вернули...",1
"здравствуйте, мне не возвращаются деньги за отмененный концерт",1
"Добрый день, интересует вопрос по возврату билета",1
я столкнулась с проблемой возврата денег. после отмены концерта прошло более 14 дней (отмена концерта кишлака 6 сентября 2024 года),1
"Здравствуйте! Так вышло, что я хочу вернуть билет, я знаю, что до мероприятия меньше 10 дней, так что мне могут вернуть только 50% , и я согласна с этим. Но на сайте висит постоянная загрузка - расчет стоимости- и я со вчерашнего дня не могу оформить возврат
Не подскажите, что с этим делать?",1
"Здравствуйте, оформляю заявку на возврат, через две минуты мне приходит отказ. Мне непонятно, что с моими документами не так и как можно за две минуты их перечитать и вынести вердикт?",1
"Я два билета пытчт вернуть, мой и мужа",1
"Здравствуйте, хотелось бы  сделать возврат билета",1
"Здравствуйте, я могу вернуть билет?",1
Добрый день. Не увидел сервисный сбор к возврату. Как оформить?,1
"Здравствуйте!скажите пожалуйста мероприятие запланированное г.Челябинск ""Наше Дело "" 23.08.2024 отменили ??а то мне на почту поступают сообщения с возвратом денежных средств за билеты",1
"Здравствуйте, вчера отменили концерт Xcho, подали заявку на возврат и нам отказали? Почему так?",1
"ещё раз здравствуйте 
хотелось бы побыстрее получить ответ
сегодня последний день, чтобы вернуть билет и получить обратно всю сумму",1
"Здравствуйте. Мероприятие было перенесено на следующий год (нашрокфест), заявка на возврат билетов создана 19 июля. В течение какого времени будет возврат средств?",1
для того чтобы оформить возврат,1
"Здравствуйте , подскажите как оставить заявку на возврат если не помнишь свою электронную почту?",1
Здравствуйте.Могу ли я вернуть деньги за билеты на концерт?,1
"Можно уточнить ? В ближайшее время это когда ? Чек не приходит до сих пор, идут восьмые сутки. Стоит ли продублировать заявку о возврате ?",1
"Доброго времени суток! 
Подскажите пожалуйста как вернуть билеты за мероприятие, не получится посетить",1
"Срочно. 
Доброго времени суток, подскажите статус возврата. ( номер заказа -28801560. ) 
(номер заказа - 28959603)",1
"Здравствуйте, как долго ждать возврата денежных средств, сегодня уже 5-ый день с подачи заявки на возврат?

Заказ № 65079918",1
"здравствуйте!! помогите пожалуйста, пытаюсь не первый раз вернуть билеты на концерт Платины который должен был состояться 24.11.2024, но исполнителя депортировали и концерты отменены
3 раза подавала заявку на возврат и три раза ее отклонили, что делать в данной ситуации",1
"Добрый день 🌸
Я бы хотела уточнить несколько вопросов об концерте Богдана в Норильске 14.09

Дело в том, что на всех комиков и не только, при приобретении билетов (а я сразу выкупаю лучшие места), всегда за небольшое количество времени до концерта он отменяется и постоянно идёт неразбериха с возвратом денежных средств.

И вот ещё вчера хотела преобрести 2 билета с сайта Богдана, но прочитала оферту и ничего не поняла, + к этому появился немаленький сервисный сбор. Вопрос: если вдруг придётся возвращать денежные средства, каков шанс, что вернут всю сумму и вернут ли сервисный сбор?
Если преобретать у нас, то сервисный сбор стоит больше тысячи...",1
Билеты вы не возвращаете,1
Я имею право вернуть билет,1
Можно запросить возврат? Продажа билетов на мероприятия которые уже прошли не законно,1
"Здравствуйте,купил билет,хочу его вернуть,как это сделать?",1
"Добрый день! 
Делали в компании возврат билетов на концерт 
Написано,что возврат заказа произведен,но деньги так и не пришли (только мне одной)",1
"Добрый день, подскажите как можно вернуть билеты на фестиваль дикая мята?",1
"Доброго вечера ,оформите пожалуйста возврат ! Сайт выдал на тот билет !верните деньги и я произведу покупку нужных мне билетов",1
"здравствуйте оформил билеты еще весной на платину, все отменили, помогите вернуть деньги 🙏🏻🙏🏻🙏🏻",1
"Здравствуйте, у меня не открывается личный кабинет,чтобы оформить возврат на несостоявшийся концерт группы Три дня дождя. Как мне оформить возврат в таком случае?",1
"Здравствуйте, когда будет осуществлен возврат средств за билеты?
Заявка оставлена от 22 мая",1
"Здравствуйте, возврат я так и не получила, заявленные 10 дней прошли",1
"Здравствуйте. У меня вопрос по поводу возврата денежных средств. Я купила билет на концерт по акции ещё зимой, но мероприятие не состоялось и было перенесено на 21 июля 2024. В это время у меня куплен билет на другое мероприятие, я не смогу пойти в указанный день. В правилах я прочитала, что билет можно сдать и получить 100% денег возврат даже на акционный билет, если мероприятие было перенесено. Я оформила возврат в личном кабинете, он получил статус «возврат заказа произведен», но деньги на мою карту не поступили. Как быть?",1
"Хорошо. Ещё хотела уточнить. Карта, с которой я покупала билет, была утеряна и перевыпущена (около 2 месяцев назад). Деньги смогут придти на новый номер карты, если был перевыпуск? Или нужно какой-то комментарий указать?",1
"Здравствуйте.

Я через вас покупал билет на концерт Wildways 22го мая в Туле. Концерт отменился, мне сделали возврат.

НО

Я платил не 1400, а 1484 руб, включая комиссионный или сервисный сбор.

Мне эти 84 рубля как вернуть?",1
Чтобы оформить возврат билетов,1
"Здравствуйте! у меня появился вопрос, через какой промежуток времени могут одобрить заявку на возврат? с подачи заявки прошло 11 дней, но ничего еще не пришло",1
Доброе утро! Вот такая у меня проблема хотел вернуть деньги но выдает ошибку...,1
"Добрый день! 17 марта оформляла возврат денег
Обещали в конце прошлой недели вернуть
Неделя прошла, уже понедельник
Назовите число, когда я получу свои деньги.
Если до 16 числа не получу деньги обращусь в прокуратуру",1
"А здесь сказали ждать понедельника, чтобы вернули деньги",1
"Таким образом, скажите, опираясь на закон, какой последний день возврата денег?",1
Здравствуйте! Виктория меня зовут. Ранее был Оплачен заказ номер 65000919. Сегодня не смогла пойти на мероприятие из-за физического недомогания по женской части. Хочу попросить организатора вернуть деньги за билет или получить какую-нибудь компенсацию,1
"Здравствуйте, как вернуть деньги за концерт платины, его депортировали",1
"добрый день! я подала заявку на возврат билета за концерт, так как его перенесли с 3 мая на 2 июня 2024 года, прошло уже больше двух недель с подачи заявки, деньги до сих пор не пришли. можете пожалуйста подсказать, будет ли все таки осуществлен возврат денежных средств?",1
"Здравствуйте,  я отправил заявку на возврат билетов, мне одобрили пришло письмо что денежные средства вернулись, а на карту они так и не вернулись!",1
"Добрый день. Не отображается билет в общем списке. Номер заказа 64365073
Как его вернуть?",1
прошу согласовать возврат денег на новый счет,1
Мне не пришли деньги за возврат,1
"Добрый день, от 26 марта оставила заявку на полный возврат денежных средств, всвязи с переносом концерта, прошло более месяца, обратной связи нет, прошу проверить и сообщить мне о результатах проверки и возврата денежных средств, спасибо.
+79670385628 Митина Александра Георгиевна",1
"Здравствуйте, Пришла квитанция о возврате билетов на «Платина| Ставрополь| 14.05» , но деньги не пришли",1
Доброе утро! Теперь другой вопрос? Как вернуть деньги за билеты. Концерт ведь отменили....,1
"добрый день, я хочу сдать билет, но в приложении не работает эта кнопка. подскажите в чем причина и как вернуть билет, пытаюсь уже второй день",1
"могу я попросить обработать заявку сегодня, чтобы вернулась часть средств. в описании написано только срочные заявки (менее 3 дней до мероприятия). вот номер заказа: 63514382.",1
"Мне нужно вернуть билет на Платину 24 ноября в Москве. Я отправляю заявку на возврат, а поддержка отказывает. В связи с последними событиями Роберта депортировали на 5 из России. Писал в группу с концертом, почти всем вернули в тот же день.",1
"здравствуйте!
мне одобрили возврат билета, но карта, по которой я оплачивал ее заблокирована, что можно сделать, можно ли поменять реквизиты?",1
